City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Saint-Francois,FR,46.4154,3.9054,45.68,77,0,2.3,clear sky
141,Berlevag,NO,70.8578,29.0864,35.69,64,100,20.29,overcast clouds
142,Hofn,IS,64.2539,-15.2082,44.98,92,100,8.97,overcast clouds
143,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,14,20,23.02,few clouds
144,Mehamn,NO,71.0357,27.8492,35.85,60,100,20.38,overcast clouds
145,Sokolo,ML,14.7328,-6.1219,94.86,31,53,5.86,broken clouds
146,Tabora,TZ,-5.0167,32.8,83.44,31,76,2.95,broken clouds
147,Peno,RU,56.9262,32.7426,37.04,87,98,8.3,light rain
148,Kruisfontein,ZA,-34.0033,24.7314,59.88,68,7,18.05,clear sky
149,Korla,CN,41.7597,86.1469,54.0,38,100,4.32,overcast clouds
150,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,74,46,6.46,scattered clouds
151,Agadez,NE,19.75,10.25,86.02,14,2,8.77,clear sky
152,Chapleau,CA,47.8405,-83.4034,37.49,81,75,5.75,broken clouds
153,Bonthe,SL,7.5264,-12.505,80.62,79,55,8.46,light rain
154,Jibuti,DJ,11.5,42.5,81.82,54,52,13.58,broken clouds
155,Maceio,BR,-9.6658,-35.7353,90.84,62,40,14.97,scattered clouds
156,Goderich,CA,43.7501,-81.7165,49.21,61,100,8.05,overcast clouds
157,Carnot,CF,4.9409,15.8665,72.97,88,85,0.94,overcast clouds
158,Muros,ES,42.7762,-9.0603,60.15,77,88,1.28,overcast clouds
159,Ancud,CL,-41.8697,-73.8203,56.73,58,13,10.63,few clouds
160,Marienburg,PL,54.0359,19.0266,40.05,82,39,7.65,scattered clouds
161,Quelimane,MZ,-17.8786,36.8883,78.75,73,0,14.97,clear sky
162,Homa Bay,KE,-0.5273,34.4571,73.08,79,100,6.42,overcast clouds
163,Carauari,BR,-4.8828,-66.8958,93.94,43,25,3.58,scattered clouds
164,Bubaque,GW,11.2833,-15.8333,84.15,66,84,7.25,broken clouds
165,Orasu Nou,RO,47.8333,23.2833,49.12,57,98,0.85,overcast clouds
166,Acarau,BR,-2.8856,-40.12,87.3,58,82,17.78,broken clouds
167,Prieska,ZA,-29.6641,22.7474,58.01,44,68,6.13,broken clouds
168,Ejigbo,NG,7.9,4.3167,72.0,92,95,4.5,light rain
169,Yar-Sale,RU,66.8333,70.8333,30.83,89,100,10.36,overcast clouds
170,Odweyne,SO,9.4092,45.064,73.81,50,1,14.81,clear sky
171,Santa Maria,BR,-29.6842,-53.8069,69.1,83,90,13.8,light rain
172,Gidole,ET,5.65,37.3667,62.76,51,87,2.28,overcast clouds
173,Itarema,BR,-2.9248,-39.9167,87.17,57,75,16.28,broken clouds
174,Rocha,UY,-34.4833,-54.3333,60.3,77,100,2.44,moderate rain
175,Grindavik,IS,63.8424,-22.4338,46.87,100,75,13.8,broken clouds
176,Sikandra,IN,26.3667,79.65,76.12,52,0,2.73,clear sky
177,Melnikovo,RU,56.5558,84.085,40.24,82,100,15.3,overcast clouds
178,Matola,MZ,-25.9622,32.4589,76.51,83,0,8.68,clear sky
179,Kyzyl-Suu,KG,42.3414,78.0056,31.21,48,3,8.77,clear sky
180,Ler,SS,8.3018,30.1418,79.39,64,63,3.85,broken clouds
181,Oruro,BO,-17.9833,-67.15,68.49,21,20,5.75,few clouds
182,Vila Velha,BR,-20.3297,-40.2925,78.75,73,40,14.97,scattered clouds
183,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,90.66,42,58,7.31,broken clouds
184,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.79,100,90,5.75,overcast clouds
185,Kisangani,CD,0.5167,25.2,75.07,83,98,2.13,light rain
186,Hadishahr,AZ,38.8431,45.6635,54.09,38,33,3.18,scattered clouds
187,Kabo,CF,7.6994,18.629,73.17,93,22,4.09,moderate rain
188,Kudahuvadhoo,MV,2.6708,72.8944,82.85,72,22,14.36,heavy intensity rain
189,Krasnoselkup,RU,65.7,82.4667,32.59,99,100,11.1,snow
190,Boyarka,UA,50.3191,30.2973,45.05,56,0,8.95,clear sky
191,Hualmay,PE,-11.0964,-77.6139,68.65,70,38,12.26,scattered clouds
192,Vozhega,RU,60.4725,40.2213,37.35,98,100,2.98,overcast clouds
193,Tanda,IN,26.55,82.65,73.53,66,0,3.49,clear sky
194,Pisco,PE,-13.7,-76.2167,67.01,72,0,10.36,clear sky
195,Lagunas,PE,-5.2269,-75.6753,95.2,40,69,5.68,broken clouds
196,Codrington,AU,-38.2667,141.9667,48.88,85,21,12.93,few clouds
197,Quatre Cocos,MU,-20.2078,57.7625,75.31,80,14,10.51,few clouds
198,Inhambane,MZ,-23.865,35.3833,75.18,94,20,14.97,few clouds
199,Cururupu,BR,-1.8283,-44.8683,88.03,55,100,7.34,overcast clouds
200,Novovasylivka,UA,46.8315,35.7536,54.66,77,100,4.63,overcast clouds
201,Rawson,AR,-43.3002,-65.1023,58.24,27,4,7.61,clear sky
202,Manta,EC,-0.95,-80.7333,78.58,78,90,8.05,overcast clouds
203,Promissao,BR,-21.5367,-49.8581,93.6,24,0,11.59,clear sky
204,Victoria,HK,22.2855,114.1577,70.25,79,69,3.0,light rain
205,Ladybrand,ZA,-29.1945,27.4574,58.86,24,1,17.47,clear sky
206,Cabedelo,BR,-6.9811,-34.8339,86.67,68,47,11.65,scattered clouds
207,Methoni,GR,36.8197,21.7049,69.22,74,9,7.45,clear sky
208,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,79,27,16.11,scattered clouds
209,Kindu,CD,-2.95,25.95,77.25,76,87,0.87,overcast clouds
210,Brunswick,US,41.2381,-81.8418,52.86,74,75,3.0,broken clouds
211,Bjornevatn,NO,69.6672,29.9847,26.94,74,99,12.66,overcast clouds
212,Hazorasp,UZ,41.3194,61.0742,49.84,31,0,10.65,clear sky
213,Sailana,IN,23.4667,74.9167,69.21,65,0,3.56,clear sky
214,Belyy Yar,RU,53.6039,91.3903,39.09,65,0,11.18,clear sky
215,Kamenka,RU,51.3223,42.7678,52.68,65,100,13.69,overcast clouds
216,Amboise,FR,47.4125,0.9827,50.54,66,0,5.75,clear sky
217,Conceicao Do Araguaia,BR,-8.2578,-49.2647,87.71,58,87,5.88,overcast clouds
218,Malakal,SS,9.5334,31.6605,82.74,46,55,4.99,broken clouds
219,Potosi,BO,-19.5836,-65.7531,65.64,9,9,24.34,clear sky
220,Zyryanskoye,RU,56.8306,86.6258,38.77,96,100,20.02,light rain
221,Wattegama,LK,6.7989,81.4808,74.53,88,30,2.46,scattered clouds
222,Oussouye,SN,12.485,-16.5469,89.78,47,85,9.26,overcast clouds
223,Necochea,AR,-38.5473,-58.7368,62.04,57,87,19.75,overcast clouds
224,Monrovia,LR,6.3005,-10.7969,79.68,81,62,9.13,broken clouds
225,Ponta Delgada,PT,37.7333,-25.6667,72.32,64,20,11.5,few clouds
226,Pinheiral,BR,-22.5128,-44.0006,87.13,51,34,10.98,scattered clouds
227,Susehri,TR,40.1644,38.0867,53.91,44,2,3.62,clear sky
228,Samaipata,BO,-18.15,-63.8667,80.49,37,32,12.75,scattered clouds
229,Lalsk,RU,60.7415,47.5862,38.8,96,100,5.84,overcast clouds
230,Chimbote,PE,-9.0853,-78.5783,68.67,72,85,12.39,overcast clouds
231,Van,TR,38.4924,43.3831,43.95,65,0,4.61,clear sky
232,Charlestown,AU,-32.95,151.6667,66.11,95,31,3.0,scattered clouds
233,Takoradi,GH,4.8845,-1.7554,78.49,83,95,7.34,overcast clouds
234,Sambava,MG,-14.2667,50.1667,75.92,91,46,3.18,light rain
235,Le Pradet,FR,43.1066,6.0172,66.65,73,0,5.75,clear sky
236,Floro,NO,61.5996,5.0328,46.36,66,90,20.71,light rain
237,Mahibadhoo,MV,3.7833,72.9667,82.8,73,58,14.94,broken clouds
238,Point Pedro,LK,9.8167,80.2333,81.1,78,19,9.35,few clouds
239,Cervo,ES,43.6702,-7.4101,62.19,76,100,2.86,overcast clouds
240,Roncesvalles,CO,4.0108,-75.6049,56.55,82,84,3.67,broken clouds
241,Gaur,NP,26.7667,85.2667,73.47,82,21,4.79,few clouds
242,Mosalsk,RU,54.4881,34.9817,41.9,66,83,13.94,broken clouds
243,Raudeberg,NO,61.9875,5.1352,46.2,72,100,8.01,light rain
244,Taoudenni,ML,22.6783,-3.9836,89.04,17,0,4.21,clear sky
245,Gat,IL,31.61,34.7642,72.81,100,0,6.85,clear sky
246,Selma,US,36.5708,-119.6121,65.7,69,85,5.57,overcast clouds
247,Moanda,GA,-1.5575,13.2178,72.1,90,90,1.5,overcast clouds
248,Senj,HR,44.9894,14.9058,56.07,76,35,14.38,scattered clouds
249,Voyinka,UA,45.8699,33.9914,56.84,70,100,4.05,overcast clouds
250,Bolpur,IN,23.6667,87.7167,72.81,74,0,5.37,clear sky
251,Lima,PE,-12.0432,-77.0282,64.13,77,75,10.36,broken clouds
252,Keetmanshoop,NA,-26.5833,18.1333,58.73,53,46,17.45,scattered clouds
253,Baft,IR,29.234,56.6057,53.67,27,0,3.98,clear sky
254,Dublin,US,37.7021,-121.9358,63.99,75,90,5.99,overcast clouds
255,Valparaiso,CL,-33.0393,-71.6273,71.83,48,0,10.36,clear sky
256,Ostrovnoy,RU,68.0531,39.5131,28.71,83,100,16.06,overcast clouds
257,Sinnamary,GF,5.3833,-52.95,82.45,80,98,10.31,overcast clouds
258,Boden,SE,65.8252,21.6886,21.2,98,35,2.01,scattered clouds
259,Bharatpur,IN,27.2167,77.4833,75.13,55,0,5.17,clear sky
260,Agirish,RU,61.9247,63.0231,38.21,80,91,14.56,overcast clouds
