City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
226,Pinheiral,BR,87.13,scattered clouds,-22.5128,-44.0006,Aldeia das Águas Apart hotel (Quartier e Village)
228,Samaipata,BO,80.49,scattered clouds,-18.15,-63.8667,Casa - Hostal
233,Takoradi,GH,78.49,overcast clouds,4.8845,-1.7554,Raybow International Hotel
234,Sambava,MG,75.92,light rain,-14.2667,50.1667,Melrose
237,Mahibadhoo,MV,82.8,broken clouds,3.7833,72.9667,Omadhoo Inn
238,Point Pedro,LK,81.1,few clouds,9.8167,80.2333,Gtr homes
244,Taoudenni,ML,89.04,clear sky,22.6783,-3.9836,
257,Sinnamary,GF,82.45,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
259,Bharatpur,IN,75.13,clear sky,27.2167,77.4833,OYO 22446 Sonar Haveli
261,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
265,Conde,BR,85.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
273,Kalmunai,LK,79.5,scattered clouds,7.4167,81.8167,VS Villa
275,Kulhudhuffushi,MV,81.32,moderate rain,6.6221,73.07,Haajy Guest House 1
283,Buraydah,SA,84.65,clear sky,26.326,43.975,فندق راحة السلام
284,Santa Rosa,PH,80.91,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
288,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
295,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
296,Mabaruma,GY,77.99,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
300,San Benito Abad,CO,86.83,broken clouds,8.929,-75.0271,"Tu casa en la villa "" Dónde la seño Cristina"""
301,Benguela,AO,75.22,broken clouds,-12.5763,13.4055,Hotel Praia Morena
302,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
304,Isla Mujeres,MX,87.85,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
310,Yendi,GH,81.1,overcast clouds,9.4427,-0.0099,Eyarro Lodge
311,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
312,Yamoussoukro,CI,75.51,light rain,6.8206,-5.2767,Residence Heaven
313,Maragogi,BR,82.8,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
314,Sao Filipe,CV,80.26,clear sky,14.8961,-24.4956,Hotel Xaguate
317,San Ignacio,BZ,87.94,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
319,Tukrah,LY,76.75,clear sky,32.5341,20.5791,Lagrota restaurant
320,Srivardhan,IN,76.46,few clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
323,Iralaya,HN,86.09,scattered clouds,15.0,-83.2333,Iglesia morava renovada
326,Papagaios,BR,88.54,few clouds,-19.4492,-44.7478,Hotel Mac Palace
328,Kita,ML,78.66,light rain,13.0349,-9.4895,Hôtel Chat Rouge
329,Mangrol,IN,79.86,few clouds,21.1167,70.1167,Hotel The Royal Honours
334,Lubumbashi,CD,76.96,broken clouds,-11.6609,27.4794,Glo Flats
337,Bajil,YE,85.91,broken clouds,15.0584,43.2851,فندق حضرموت
338,Bengkulu,ID,75.78,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
339,Adre,TD,84.09,clear sky,13.4667,22.2,
341,Comarapa,BO,76.37,broken clouds,-17.9,-64.4833,
343,Ocean Springs,US,81.7,clear sky,30.4113,-88.8278,Golden Nugget Biloxi Hotel & Casino
347,Kawambwa,ZM,78.33,broken clouds,-9.7915,29.0791,Chembe Nsofu
356,Bandundu,CD,75.11,light rain,-3.3167,17.3667,Coja Color
357,Sikonge,TZ,85.19,overcast clouds,-5.6333,32.7667,Pretoria 2 Lodge
361,Umm Lajj,SA,79.27,clear sky,25.0213,37.2685,Moon light Furnished Units
362,Bandarbeyla,SO,78.55,clear sky,9.4942,50.8122,JABIR HOTEL
364,Alta Floresta,BR,87.62,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
373,Koutiala,ML,81.3,light rain,12.3917,-5.4642,Hotel La Chaumiere
378,Marzuq,YE,75.65,few clouds,14.4,46.4667,
379,Sur,OM,81.81,clear sky,22.5667,59.5289,Sur Plaza Hotel
388,Bafoulabe,ML,85.32,broken clouds,13.8065,-10.8321,
389,Nsanje,MW,89.58,clear sky,-16.92,35.262,Nsanje Discovery Lodge
390,Saint-Pierre,RE,75.56,clear sky,-21.3393,55.4781,Lindsey Hôtel
392,Sao Felix Do Xingu,BR,89.1,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
393,Totness,SR,80.78,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
395,Pocao De Pedras,BR,86.86,moderate rain,-4.6667,-44.85,Hotel Magazine
397,Baillif,GP,85.5,scattered clouds,16.0202,-61.7463,Hôtel Saint-Georges
398,Tonj,SS,76.96,overcast clouds,7.2737,28.6822,Lakan Hotel
405,Angoche,MZ,77.13,few clouds,-16.2325,39.9086,Guest House HESADA
408,Axim,GH,78.26,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
410,Pizarro,CO,76.68,light rain,4.9533,-77.366,Hotel Limonar
