City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
30,Port Alfred,ZA,2021-10-23 16:06:41,-33.5906,26.891,63.46,64,39,33.51
31,Manaure,CO,2021-10-23 16:08:08,11.7751,-72.4445,89.87,56,30,19.86
32,Faya,SA,2021-10-23 16:08:09,18.3851,42.4509,70.32,41,7,3.76
33,Annau,TM,2021-10-23 16:08:09,37.8876,58.516,54.9,47,0,6.91
34,Khorixas,NA,2021-10-23 16:08:10,-20.3667,14.9667,82.58,8,0,14.47
35,San Antonio,US,2021-10-23 16:04:40,29.4241,-98.4936,80.35,83,75,5.75
36,Cowansville,CA,2021-10-23 16:08:10,45.2001,-72.7491,45.39,62,100,3.89
37,Karwar,IN,2021-10-23 16:08:11,14.8,74.1333,77.52,89,99,3.13
38,Hermanus,ZA,2021-10-23 16:08:11,-34.4187,19.2345,60.91,67,68,11.23
39,Saint-Pierre,RE,2021-10-23 16:08:11,-21.3393,55.4781,76.68,81,75,3.44
40,Mar Del Plata,AR,2021-10-23 16:04:32,-38.0023,-57.5575,59.88,80,70,7.0
41,Basqal,AZ,2021-10-23 16:08:12,40.7552,48.391,43.32,59,0,2.44
42,Cape Town,ZA,2021-10-23 16:05:21,-33.9258,18.4232,66.09,52,62,5.99
43,Tucuman,AR,2021-10-23 16:08:13,-26.8241,-65.2226,80.6,36,40,24.16
44,Alice Town,BS,2021-10-23 16:08:13,25.7167,-79.3,81.03,73,85,6.85
45,Moshenskoye,RU,2021-10-23 16:08:13,58.5102,34.5911,39.06,90,100,7.0
46,Arraial Do Cabo,BR,2021-10-23 16:05:37,-22.9661,-42.0278,76.86,73,0,19.57
47,Kano,NG,2021-10-23 16:08:14,12.0001,8.5167,90.54,37,79,8.59
48,Busselton,AU,2021-10-23 16:04:07,-33.65,115.3333,55.09,84,11,7.36
49,Korla,CN,2021-10-23 16:08:15,41.7597,86.1469,55.44,39,100,6.02
50,Qaqortoq,GL,2021-10-23 16:08:15,60.7167,-46.0333,37.9,72,76,7.99
51,Semey,KZ,2021-10-23 16:08:16,50.4111,80.2275,46.78,53,100,19.42
52,Cayenne,GF,2021-10-23 16:08:16,4.9333,-52.3333,86.09,76,75,5.99
53,Longyearbyen,SJ,2021-10-23 16:08:16,78.2186,15.6401,21.04,86,20,3.44
54,Sao Filipe,CV,2021-10-23 16:08:17,14.8961,-24.4956,80.74,65,0,4.94
55,Acarau,BR,2021-10-23 16:08:17,-2.8856,-40.12,89.6,54,75,16.98
56,Lumeje,AO,2021-10-23 16:08:17,-11.55,20.7833,82.09,43,60,9.08
57,Port Elizabeth,ZA,2021-10-23 16:05:02,-33.918,25.5701,65.1,65,4,26.8
58,Humberto De Campos,BR,2021-10-23 16:08:18,-2.5983,-43.4611,90.46,50,98,9.86
59,Punta Arenas,CL,2021-10-23 16:08:18,-53.15,-70.9167,39.22,93,90,37.98
60,Saint-Georges,GD,2021-10-23 16:08:19,12.0564,-61.7485,84.07,64,74,18.5
61,Cabedelo,BR,2021-10-23 16:07:44,-6.9811,-34.8339,84.87,64,38,12.39
62,Uusikaupunki,FI,2021-10-23 16:08:19,60.8004,21.4084,34.32,75,42,14.0
63,Bolgatanga,GH,2021-10-23 16:08:20,10.7856,-0.8514,92.08,42,100,3.8
